PING 10.0.14.2 (10.0.14.2) 56(84) bytes of data.
64 bytes from 10.0.14.2: icmp_seq=1 ttl=60 time=0.873 ms
64 bytes from 10.0.14.2: icmp_seq=2 ttl=60 time=0.784 ms
64 bytes from 10.0.14.2: icmp_seq=3 ttl=60 time=0.713 ms
64 bytes from 10.0.14.2: icmp_seq=4 ttl=60 time=0.707 ms
64 bytes from 10.0.14.2: icmp_seq=5 ttl=60 time=0.733 ms
64 bytes from 10.0.14.2: icmp_seq=6 ttl=60 time=0.722 ms
64 bytes from 10.0.14.2: icmp_seq=7 ttl=60 time=0.705 ms
64 bytes from 10.0.14.2: icmp_seq=8 ttl=60 time=0.688 ms
64 bytes from 10.0.14.2: icmp_seq=9 ttl=60 time=0.704 ms
64 bytes from 10.0.14.2: icmp_seq=10 ttl=60 time=0.673 ms
64 bytes from 10.0.14.2: icmp_seq=11 ttl=60 time=0.674 ms
64 bytes from 10.0.14.2: icmp_seq=12 ttl=60 time=0.639 ms
64 bytes from 10.0.14.2: icmp_seq=22 ttl=60 time=0.290 ms
64 bytes from 10.0.14.2: icmp_seq=27 ttl=60 time=0.374 ms
64 bytes from 10.0.14.2: icmp_seq=32 ttl=60 time=0.286 ms
64 bytes from 10.0.14.2: icmp_seq=43 ttl=60 time=0.712 ms
64 bytes from 10.0.14.2: icmp_seq=80 ttl=60 time=0.829 ms
64 bytes from 10.0.14.2: icmp_seq=81 ttl=60 time=0.663 ms
64 bytes from 10.0.14.2: icmp_seq=82 ttl=60 time=0.647 ms
64 bytes from 10.0.14.2: icmp_seq=83 ttl=60 time=0.622 ms
64 bytes from 10.0.14.2: icmp_seq=84 ttl=60 time=0.618 ms
64 bytes from 10.0.14.2: icmp_seq=85 ttl=60 time=0.651 ms
64 bytes from 10.0.14.2: icmp_seq=86 ttl=60 time=0.642 ms
64 bytes from 10.0.14.2: icmp_seq=87 ttl=60 time=0.645 ms
64 bytes from 10.0.14.2: icmp_seq=88 ttl=60 time=0.627 ms
64 bytes from 10.0.14.2: icmp_seq=89 ttl=60 time=0.630 ms
64 bytes from 10.0.14.2: icmp_seq=90 ttl=60 time=0.622 ms
64 bytes from 10.0.14.2: icmp_seq=91 ttl=60 time=0.621 ms
64 bytes from 10.0.14.2: icmp_seq=92 ttl=60 time=0.639 ms
64 bytes from 10.0.14.2: icmp_seq=93 ttl=60 time=0.619 ms
64 bytes from 10.0.14.2: icmp_seq=94 ttl=60 time=0.633 ms
64 bytes from 10.0.14.2: icmp_seq=95 ttl=60 time=0.631 ms
64 bytes from 10.0.14.2: icmp_seq=96 ttl=60 time=0.625 ms
64 bytes from 10.0.14.2: icmp_seq=97 ttl=60 time=0.622 ms
64 bytes from 10.0.14.2: icmp_seq=98 ttl=60 time=0.667 ms
64 bytes from 10.0.14.2: icmp_seq=99 ttl=60 time=0.663 ms
64 bytes from 10.0.14.2: icmp_seq=100 ttl=60 time=0.659 ms
64 bytes from 10.0.14.2: icmp_seq=101 ttl=60 time=0.628 ms
64 bytes from 10.0.14.2: icmp_seq=102 ttl=60 time=0.640 ms
64 bytes from 10.0.14.2: icmp_seq=103 ttl=60 time=0.624 ms
64 bytes from 10.0.14.2: icmp_seq=104 ttl=60 time=0.627 ms
64 bytes from 10.0.14.2: icmp_seq=105 ttl=60 time=0.636 ms
64 bytes from 10.0.14.2: icmp_seq=106 ttl=60 time=0.618 ms
64 bytes from 10.0.14.2: icmp_seq=107 ttl=60 time=0.645 ms
64 bytes from 10.0.14.2: icmp_seq=108 ttl=60 time=0.626 ms
64 bytes from 10.0.14.2: icmp_seq=109 ttl=60 time=0.640 ms
64 bytes from 10.0.14.2: icmp_seq=110 ttl=60 time=0.638 ms
64 bytes from 10.0.14.2: icmp_seq=111 ttl=60 time=0.625 ms
64 bytes from 10.0.14.2: icmp_seq=112 ttl=60 time=0.620 ms
